,BOROUGH,YEAR,MONTH,REVENUE_GROSS_USD,TIPS_USD,REVENUE_NET_EX_TIP_USD,TIP_PCT
78,Unknown,2019,10,1252961.3900000001,150608.44999999998,1102352.9400000002,12.02
79,,2019,10,342390.85,35652.950000000004,306737.89999999997,10.41
80,Bronx,2019,11,1197724.6900000002,10127.270000000002,1187597.4200000002,0.85
81,Brooklyn,2019,11,4420442.119999999,262899.09,4157543.0299999993,5.95
82,EWR,2019,11,82324.71,9502.339999999998,72822.37000000001,11.54
83,Manhattan,2019,11,111566511.95,13063487.09,98503024.86,11.71
84,Queens,2019,11,23241528.88,2405369.16,20836159.72,10.35
85,Staten Island,2019,11,30178.750000000004,368.48999999999995,29810.260000000002,1.22
86,Unknown,2019,11,1154997.23,138666.66,1016330.57,12.01
87,,2019,11,312814.04000000004,32464.380000000005,280349.66000000003,10.38
88,Bronx,2019,12,1293156.4500000002,11641.47,1281514.9800000002,0.9
89,Brooklyn,2019,12,4519528.05,262197.26000000007,4257330.79,5.8
90,EWR,2019,12,95268.65999999999,11191.61,84077.04999999999,11.75
91,Manhattan,2019,12,112412685.93,12959694.030000003,99452991.9,11.53
92,Queens,2019,12,24224747.86,2483377.96,21741369.9,10.25
93,Staten Island,2019,12,27584.209999999995,982.04,26602.169999999995,3.56
94,Unknown,2019,12,1196342.18,141204.53,1055137.65,11.8
95,,2019,12,345212.24,36724.740000000005,308487.5,10.64
