service_type,year,month,url,has_parquet,http_status,content_length,checked_at
yellow,2018,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-06.parquet,True,200,124189362,2025-09-22T03:18:14Z
yellow,2018,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-07.parquet,True,200,112244445,2025-09-22T03:18:15Z
yellow,2018,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-08.parquet,True,200,111426538,2025-09-22T03:18:15Z
yellow,2018,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-09.parquet,True,200,115505387,2025-09-22T03:18:15Z
yellow,2018,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-10.parquet,True,200,126899602,2025-09-22T03:18:16Z
yellow,2018,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-11.parquet,True,200,117170616,2025-09-22T03:18:16Z
yellow,2018,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-12.parquet,True,200,117845011,2025-09-22T03:18:16Z
yellow,2019,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-01.parquet,True,200,110439634,2025-09-22T03:18:16Z
yellow,2019,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-02.parquet,True,200,103356025,2025-09-22T03:18:17Z
yellow,2019,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-03.parquet,True,200,116017372,2025-09-22T03:18:17Z
yellow,2019,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-04.parquet,True,200,110139137,2025-09-22T03:18:17Z
yellow,2019,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-05.parquet,True,200,111478943,2025-09-22T03:18:17Z
yellow,2019,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-06.parquet,True,200,102903344,2025-09-22T03:18:18Z
yellow,2019,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-07.parquet,True,200,93877343,2025-09-22T03:18:18Z
yellow,2019,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-08.parquet,True,200,89999675,2025-09-22T03:18:18Z
yellow,2019,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-09.parquet,True,200,97110325,2025-09-22T03:18:18Z
yellow,2019,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-10.parquet,True,200,106293373,2025-09-22T03:18:19Z
yellow,2019,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-11.parquet,True,200,100872983,2025-09-22T03:18:19Z
yellow,2019,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-12.parquet,True,200,101044777,2025-09-22T03:18:19Z
yellow,2020,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-01.parquet,True,200,93562858,2025-09-22T03:18:19Z
yellow,2020,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-02.parquet,True,200,92134881,2025-09-22T03:18:20Z
yellow,2020,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-03.parquet,True,200,44442590,2025-09-22T03:18:20Z
yellow,2020,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-04.parquet,True,200,4442620,2025-09-22T03:18:20Z
yellow,2020,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-05.parquet,True,200,6229864,2025-09-22T03:18:21Z
yellow,2020,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-06.parquet,True,200,9505358,2025-09-22T03:18:21Z
yellow,2020,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-07.parquet,True,200,13387778,2025-09-22T03:18:22Z
yellow,2020,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-08.parquet,True,200,16601463,2025-09-22T03:18:22Z
yellow,2020,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-09.parquet,True,200,21381938,2025-09-22T03:18:22Z
yellow,2020,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-10.parquet,True,200,26306876,2025-09-22T03:18:23Z
yellow,2020,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-11.parquet,True,200,23583368,2025-09-22T03:18:23Z
yellow,2020,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-12.parquet,True,200,23020036,2025-09-22T03:18:23Z
yellow,2021,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet,True,200,21686067,2025-09-22T03:18:24Z
yellow,2021,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-02.parquet,True,200,21777258,2025-09-22T03:18:24Z
yellow,2021,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet,True,200,30007852,2025-09-22T03:18:24Z
yellow,2021,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-04.parquet,True,200,34018560,2025-09-22T03:18:25Z
yellow,2021,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet,True,200,38743682,2025-09-22T03:18:25Z
yellow,2021,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-06.parquet,True,200,44071592,2025-09-22T03:18:25Z
yellow,2021,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-07.parquet,True,200,43697690,2025-09-22T03:18:26Z
yellow,2021,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-08.parquet,True,200,43425907,2025-09-22T03:18:26Z
yellow,2021,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet,True,200,46125883,2025-09-22T03:18:26Z
yellow,2021,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet,True,200,53286464,2025-09-22T03:18:27Z
yellow,2021,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-11.parquet,True,200,53100722,2025-09-22T03:18:27Z
yellow,2021,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-12.parquet,True,200,49639052,2025-09-22T03:18:27Z
yellow,2022,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-01.parquet,True,200,38139949,2025-09-22T03:18:28Z
yellow,2022,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-02.parquet,True,200,45616512,2025-09-22T03:18:28Z
yellow,2022,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-03.parquet,True,200,55682369,2025-09-22T03:18:28Z
yellow,2022,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-04.parquet,True,200,55222692,2025-09-22T03:18:29Z
yellow,2022,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-05.parquet,True,200,55558821,2025-09-22T03:18:29Z
yellow,2022,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-06.parquet,True,200,55365184,2025-09-22T03:18:29Z
yellow,2022,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-07.parquet,True,200,49367712,2025-09-22T03:18:30Z
yellow,2022,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-08.parquet,True,200,49717159,2025-09-22T03:18:30Z
yellow,2022,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-09.parquet,True,200,49619957,2025-09-22T03:18:30Z
yellow,2022,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-10.parquet,True,200,57061938,2025-09-22T03:18:31Z
yellow,2022,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-11.parquet,True,200,50106631,2025-09-22T03:18:31Z
yellow,2022,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-12.parquet,True,200,53640739,2025-09-22T03:18:31Z
yellow,2023,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-01.parquet,True,200,47673370,2025-09-22T03:18:32Z
yellow,2023,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-02.parquet,True,200,47748012,2025-09-22T03:18:32Z
yellow,2023,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-03.parquet,True,200,56127762,2025-09-22T03:18:32Z
yellow,2023,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-04.parquet,True,200,54222699,2025-09-22T03:18:33Z
yellow,2023,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-05.parquet,True,200,58654627,2025-09-22T03:18:33Z
yellow,2023,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-06.parquet,True,200,54999465,2025-09-22T03:18:33Z
yellow,2023,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-07.parquet,True,200,48361828,2025-09-22T03:18:34Z
